timestamp_ms,process_cpu_percent,process_rss_bytes,process_vms_bytes,system_cpu_percent
1786957866755,0.0,34254848,277643264,0.0
1786957867258,2.0,34254848,277643264,1.0
1786957867762,4.0,34254848,277643264,1.0
1786957868266,2.0,34254848,277643264,1.0
1786957868770,0.0,34254848,277643264,1.0
1786957869275,4.0,34254848,277643264,1.0
1786957869779,0.0,34254848,277643264,0.5
1786957870282,2.0,34254848,277643264,1.0
1786957870786,2.0,34254848,277643264,1.5
1786957871290,2.0,34254848,277643264,0.0
1786957871793,0.0,34254848,277643264,1.5
1786957872296,2.0,34254848,277643264,0.0
1786957872800,4.0,34254848,277643264,1.5
1786957873304,2.0,34254848,277643264,0.5
1786957873807,0.0,34254848,277643264,0.5
1786957874312,2.0,34254848,277643264,0.5
1786957874815,2.0,34254848,277643264,1.0
1786957875318,2.0,34254848,277643264,0.0
1786957875822,2.0,34254848,277643264,1.5
1786957876325,2.0,34254848,277643264,0.5
1786957876828,2.0,34254848,277643264,1.0
1786957877332,0.0,34254848,277643264,1.0
1786957877836,2.0,34254848,277643264,1.0
1786957878339,4.0,34254848,277643264,0.5
1786957878843,2.0,34254848,277643264,1.5
1786957879347,0.0,34254848,277643264,0.5
1786957879850,2.0,34254848,277643264,0.5
1786957880353,2.0,34254848,277643264,0.5
1786957880856,2.0,34254848,277643264,1.0
1786957881360,2.0,34254848,277643264,0.0
1786957881864,2.0,34254848,277643264,2.0
1786957882368,2.0,34254848,277643264,1.0
1786957882871,2.0,34254848,277643264,0.5
1786957883374,0.0,34254848,277643264,0.0
1786957883877,4.0,34254848,277643264,1.0
1786957884381,0.0,34254848,277643264,0.5
1786957884883,2.0,34254848,277643264,0.5
1786957885387,2.0,34254848,277643264,1.0
1786957885890,2.0,34254848,277643264,1.0
1786957886395,0.0,34254848,277643264,0.5
1786957886899,2.0,34254848,277643264,2.5
1786957887403,2.0,34254848,277643264,0.0
1786957887906,2.0,34254848,277643264,0.5
1786957888409,2.0,34254848,277643264,0.0
1786957888912,2.0,34254848,277643264,2.5
1786957889416,2.0,34254848,277643264,0.0
1786957889920,2.0,34254848,277643264,1.0
1786957890424,0.0,34254848,277643264,0.0
1786957890928,4.0,34254848,277643264,1.5
1786957891431,0.0,34254848,277643264,0.0
1786957891934,2.0,34254848,277643264,1.5
1786957892438,2.0,34254848,277643264,0.5
1786957892942,2.0,34254848,277643264,1.0
1786957893446,0.0,34254848,277643264,0.5
1786957893948,4.0,34254848,277643264,1.0
1786957894451,0.0,34254848,277643264,0.5
1786957894954,4.0,34254848,277643264,1.0
1786957895457,2.0,34254848,277643264,0.5
1786957895960,2.0,34254848,277643264,0.5
1786957896465,0.0,34254848,277643264,0.5
1786957896967,2.0,34254848,277643264,1.0
1786957897470,2.0,34254848,277643264,0.0
1786957897974,2.0,34254848,277643264,1.0
1786957898477,0.0,34254848,277643264,0.0
1786957898982,4.0,34254848,277643264,3.0
1786957899485,0.0,34254848,277643264,0.0
1786957899988,4.0,34254848,277643264,1.5
1786957900491,2.0,34254848,277643264,1.0
1786957900995,2.0,34254848,277643264,0.0
1786957901498,0.0,34254848,277643264,0.5
1786957902001,2.0,34254848,277643264,1.5
1786957902506,0.0,34254848,277643264,0.5
1786957903009,4.0,34254848,277643264,1.0
1786957903513,0.0,34254848,277643264,0.0
1786957904016,2.0,34254848,277643264,1.5
1786957904519,2.0,34254848,277643264,0.5
1786957905022,2.0,34254848,277643264,1.0
1786957905526,2.0,34254848,277643264,0.5
1786957906030,2.0,34254848,277643264,1.0
1786957906533,2.0,34254848,277643264,1.0
1786957907036,2.0,34254848,277643264,1.5
